x_val,total_1,total_2
0,1000,1000
1,1008,997
2,1005,1000
3,1009,998
4,1015,1001
5,1022,1005
6,1027,1005
7,1021,1008
8,1024,1007
9,1025,1012
10,1029,1007
11,1033,1006
12,1027,1008
13,1034,1005
14,1032,1011
15,1037,1009
16,1039,1007
17,1047,1006
18,1051,1012
19,1054,1007
20,1059,1011
21,1061,1012
22,1060,1012
23,1066,1007
24,1070,1011
25,1069,1010
26,1074,1006
27,1082,1012
28,1079,1009
29,1075,1011
30,1074,1008
31,1068,1005
32,1070,1003
33,1069,1009
34,1067,1010
35,1069,1016
36,1075,1013
37,1077,1011
38,1074,1015
39,1071,1012
40,1071,1016
41,1077,1019
42,1076,1014
43,1079,1009
44,1080,1011
45,1087,1007
